Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
AMBUJACEM,EQ,16-Jun-20,191.5,192.6,198.4,187.8,190,190.6,193.64,5481825,1061522949,58155,1909750,34.84
AMBUJACEM,EQ,17-Jun-20,190.6,188.55,191.5,185.35,186.75,187.15,188.86,3190009,602466271.1,32775,1454465,45.59
AMBUJACEM,EQ,18-Jun-20,187.15,187.2,189,185.7,186.9,187.35,187.35,3259969,610760520.1,30743,1634772,50.15
AMBUJACEM,EQ,19-Jun-20,187.35,188.4,194,187.55,191.15,190.8,190.68,7723563,1472744507,33865,5164828,66.87
AMBUJACEM,EQ,22-Jun-20,190.8,191.45,193.3,190.55,190.85,191.1,191.61,2478247,474858774.6,27149,1157405,46.7
AMBUJACEM,EQ,23-Jun-20,191.1,191.8,196.2,191.1,193.5,193.25,193.99,4619623,896139841,40164,946948,44.01
AMBUJACEM,EQ,24-Jun-20,193.25,194.25,198.2,186.4,190,188.7,192.68,6600983,1271858148,47938,2712651,41.09
AMBUJACEM,EQ,25-Jun-20,188.7,188.1,191.35,185.35,185.95,186.25,188.27,4479141,843269836.8,40353,2424641,54.13
AMBUJACEM,EQ,26-Jun-20,186.25,188,188.7,186.15,187.75,188,187.37,3304712,619216824,33888,1693255,51.24
AMBUJACEM,EQ,29-Jun-20,188,188,188.65,183.2,187.9,187.55,186.11,3555861,661793193.4,25018,1138801,32.03
AMBUJACEM,EQ,30-Jun-20,187.55,187.65,194.95,187.65,193.8,193.6,192.69,6482253,1249069014,42923,2643739,40.78
AMBUJACEM,EQ,1-Jul-20,193.6,194.15,195.7,190.4,192.25,192.2,192.73,2867676,552676873.1,21561,761777,26.56
AMBUJACEM,EQ,2-Jul-20,192.2,192.7,196.4,192.05,193.95,193.7,193.84,2693250,522046393.5,25386,969109,35.98
AMBUJACEM,EQ,3-Jul-20,193.7,194.6,196.25,192.05,195.8,195.8,194.12,4168369,809152567.8,44640,839236,20.13
